Date,NVDA_Close,QQQ_Close,AI_Trend,ChatGPT_Trend,DeepSeek_Trend,nvda_return,qqq_return,ai_diff,chatgpt_diff,deepseek_diff,chatgpt_shock,deepseek_shock
3/29/2020,6.32,185.3,5,0,0,-0.03543043698,-0.01047016373,0,0,0,0,0
4/5/2020,6.1,183.37,5,0,0,0.07422506132,0.0911021784,0,0,0,0,0
4/12/2020,6.57,200.86,4,0,0,0.1067294413,0.06937780851,-1,0,0,0,0
4/19/2020,7.31,215.29,4,0,0,-0.009622067364,-0.006757884643,0,0,0,0,0
4/26/2020,7.24,213.84,5,0,0,-0.02376072649,-0.005157309007,1,0,0,0,0
5/3/2020,7.07,212.74,5,0,0,0.09954448394,0.0554072235,0,0,0,0,0
5/10/2020,7.81,224.86,5,0,0,0.08348403647,-0.007096184911,0,0,0,0,0
5/17/2020,8.49,223.27,5,0,0,0.06166336711,0.02821815294,0,0,0,0,0
5/24/2020,9.03,229.66,5,0,0,-0.01675081042,0.01598237121,0,0,0,0,0
5/31/2020,8.88,233.36,4,0,0,0.004494389588,0.0267640962,-1,0,0,0,0
6/7/2020,8.92,239.69,5,0,0,0.001120448296,-0.01602322062,1,0,0,0,0
6/14/2020,8.93,235.88,5,0,0,0.03628765377,0.03482814729,0,0,0,0,0
6/21/2020,9.26,244.24,5,0,0,-0.01195016937,-0.0165961783,0,0,0,0,0
6/28/2020,9.15,240.22,4,0,0,0.04905034369,0.04862760155,-1,0,0,0,0
7/5/2020,9.61,252.19,4,0,0,0.08666445591,0.04565268865,0,0,0,0,0
7/12/2020,10.48,263.97,5,0,0,-0.0270809586,-0.01738709041,1,0,0,0,0
7/19/2020,10.2,259.42,5,0,0,-0.0009808730556,-0.01499115418,0,0,0,0,0
7/26/2020,10.19,255.56,5,0,0,0.04039010539,0.03924930756,0,0,0,0,0
8/2/2020,10.61,265.79,5,0,0,0.05411682568,0.02114511273,0,0,0,0,0
8/9/2020,11.2,271.47,5,0,0,0.03163708494,0.002538492616,0,0,0,0,0
8/16/2020,11.56,272.16,5,0,0,0.09247508576,0.03505584309,0,0,0,0,0
8/23/2020,12.68,281.87,5,0,0,0.03639580961,0.03712125377,0,0,0,0,0
8/30/2020,13.15,292.53,5,0,0,-0.04113890151,-0.03107295521,0,0,0,0,0
9/6/2020,12.62,283.58,5,0,0,-0.03713098058,-0.04740703199,0,0,0,0,0
9/13/2020,12.16,270.45,5,0,0,0.002464066955,-0.01332558987,0,0,0,0,0
9/20/2020,12.19,266.87,5,0,0,0.05428307811,0.01742146099,0,0,0,0,0
9/27/2020,12.87,271.56,4,0,0,0.01465510224,0.01007574428,-1,0,0,0,0
10/4/2020,13.06,274.31,4,0,0,0.05221170866,0.04071845666,0,0,0,0,0
10/11/2020,13.76,285.71,4,0,0,0.003627134916,0.009752437018,0,0,0,0,0
10/18/2020,13.81,288.51,4,0,0,-0.01605873926,-0.01315326421,0,0,0,0,0
10/25/2020,13.59,284.74,4,0,0,-0.08120845926,-0.05545346101,0,0,0,0,0
11/1/2020,12.53,269.38,3,0,0,0.1501522739,0.08952942561,-1,0,0,0,0
11/8/2020,14.56,294.61,4,0,0,-0.09051400754,-0.01256975938,1,0,0,0,0
11/15/2020,13.3,290.93,4,0,0,-0.01591545531,-0.001892278351,0,0,0,0,0
11/22/2020,13.09,290.38,4,0,0,0.01290340484,0.02928660759,0,0,0,0,0
11/29/2020,13.26,299.01,5,0,0,0.02237229775,0.02153822527,1,0,0,0,0
12/6/2020,13.56,305.52,5,0,0,-0.04140598999,-0.01208503767,0,0,0,0,0
12/13/2020,13.01,301.85,5,0,0,0.01978755582,0.0268356219,0,0,0,0,0
12/20/2020,13.27,310.06,5,0,0,-0.02132601766,-0.001613892736,0,0,0,0,0
12/27/2020,12.99,309.56,4,0,0,0.005374293166,0.01341268303,-1,0,0,0,0
1/3/2021,13.06,313.74,4,0,0,0.0167050202,0.01672052482,0,0,0,0,0
1/10/2021,13.28,319.03,5,0,0,-0.03213742524,-0.02273077309,1,0,0,0,0
1/17/2021,12.86,311.86,5,0,0,0.06400377476,0.04256228655,0,0,0,0,0
1/24/2021,13.71,325.42,5,0,0,-0.05394566289,-0.03394181875,0,0,0,0,0
1/31/2021,12.99,314.56,5,0,0,0.04515439748,0.05203056069,0,0,0,0,0
2/7/2021,13.59,331.36,5,0,0,0.09604574438,0.01524415199,0,0,0,0,0
2/14/2021,14.96,336.45,5,0,0,-0.002007360995,-0.01627075312,0,0,0,0,0
2/21/2021,14.93,331.02,5,0,0,-0.08524711798,-0.0523400501,0,0,0,0,0
2/28/2021,13.71,314.14,5,0,0,-0.09560198021,-0.01753360483,0,0,0,0,0
3/7/2021,12.46,308.68,5,0,0,0.03159820545,0.02172674947,0,0,0,0,0
3/14/2021,12.86,315.46,5,0,0,-0.0007779074682,-0.007381516176,0,0,0,0,0
3/21/2021,12.85,313.14,5,0,0,-0.0007785130794,0.009091838704,0,0,0,0,0
3/28/2021,12.84,316,5,0,0,0.07282766916,0.02675901578,0,0,0,0,0
4/4/2021,13.81,324.57,5,0,0,0.04183523916,0.03790805722,0,0,0,0,0
4/11/2021,14.4,337.11,5,0,0,0.09971963577,0.01443068981,0,0,0,0,0
4/18/2021,15.91,342.01,5,0,0,-0.04105772312,-0.007601697818,0,0,0,0,0
4/25/2021,15.27,339.42,5,0,0,-0.01717347359,-0.004221969337,0,0,0,0,0
5/2/2021,15.01,337.99,5,0,0,-0.01341401737,-0.01127669309,0,0,0,0,0
5/9/2021,14.81,334.2,5,0,0,-0.0392477223,-0.0236466308,0,0,0,0,0
5/16/2021,14.24,326.39,5,0,0,0.05132840613,0.001897766104,0,0,0,0,0
5/23/2021,14.99,327.01,6,0,0,0.08009402262,0.0209406387,1,0,0,0,0
5/30/2021,16.24,333.93,5,0,0,0.07928455752,0.00498858442,-1,0,0,0,0
6/6/2021,17.58,335.6,7,0,0,0.01412053962,0.01666606745,2,0,0,0,0
6/13/2021,17.83,341.24,5,0,0,0.04442737738,0.00406510569,-2,0,0,0,0
6/20/2021,18.64,342.63,5,0,0,0.02070687205,0.01973795818,0,0,0,0,0
6/27/2021,19.03,349.46,5,0,0,0.07392028094,0.02592999394,0,0,0,0,0
7/4/2021,20.49,358.64,4,0,0,-0.0217078085,0.006586558933,-1,0,0,0,0
7/11/2021,20.05,361.01,5,0,0,-0.09900778058,-0.009490615481,1,0,0,0,0
7/18/2021,18.16,357.6,5,0,0,0.07426529143,0.0292112255,0,0,0,0,0
7/25/2021,19.56,368.2,5,0,0,-0.003072199037,-0.009907691893,0,0,0,0,0
8/1/2021,19.5,364.57,5,0,0,0.04364876467,0.009500221598,0,0,0,0,0
8/8/2021,20.37,368.05,5,0,0,-0.008875797914,0.002089921642,0,0,0,0,0
8/15/2021,20.19,368.82,6,0,0,0.03072663086,-0.002959746917,1,0,0,0,0
8/22/2021,20.82,367.73,5,0,0,0.08380419015,0.02234654748,-1,0,0,0,0
8/29/2021,22.64,376.04,5,0,0,0.008795131453,0.01459879942,0,0,0,0,0
9/5/2021,22.84,381.57,5,0,0,-0.01588735976,-0.01313725763,0,0,0,0,0
9/12/2021,22.48,376.59,5,0,0,-0.0261393882,-0.007355913875,0,0,0,0,0
9/19/2021,21.9,373.83,5,0,0,0.008185584586,-0.001338401613,0,0,0,0,0
9/26/2021,22.08,373.33,5,0,0,-0.06260801861,-0.03585884052,0,0,0,0,0
10/3/2021,20.74,360.18,5,0,0,0.004330052471,0.002717166947,0,0,0,0,0
10/10/2021,20.83,361.16,5,0,0,0.04826422748,0.02131295575,0,0,0,0,0
10/17/2021,21.86,368.94,5,0,0,0.03902715512,0.01388911216,0,0,0,0,0
10/24/2021,22.73,374.1,5,0,0,0.1177341514,0.03159916161,0,0,0,0,0
10/31/2021,25.57,386.11,5,0,0,0.1514093427,0.03183610482,0,0,0,0,0
